"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
244,0.6875,0.667375,10001100100010000110100011000001011110100011010101000001111100001100000111001011001001011100001100111101
245,0.6875,0.6706375,11111100100011011001000010101000010010000000101111110011100110101111010110000011100111110100001000001101
246,0.6875,0.665925,00101101111001001101001110101011000101010001001000101111010101000010010110100010110010101100001100111101
247,0.6875,0.671025,10011111001011110011011100100001010101010000001010110001110111000001001101011001111111111100000000001101
248,0.6875,0.667875,11001110010110110011110001100011010100111011000011001001111000100011111011000011010010001000001100111101
249,0.6875,0.668825,00110100000101111110101000010101010111100011000011100001000110010110101011101000000100110000001000001101
250,0.6875,0.6697875,10000110101100000011110101011100101010000011000010001011101100111100000101011010101000100100001000001101
251,0.6875,0.67005,11110101110100110110111110000011000100111101011110010110101000001101010001010000000111110000001000101101
252,0.6875,0.668775,11000011011000111011111000000101111101110011000010110101100000010010101110010100011011010000001100111101
253,0.6875,0.6682625,10111100100001000111000001100000110100010100001001001101111100001111010001100100101101110000001000001101
254,0.6875,0.6689375,11011110111001111111010001110101100000101010100101001101100100011001101001001111100100101100001100011101
255,0.6875,0.671425,11100101111101001000111001110100110001111001111000110011101111010000100111110001011010111000001100011101
256,0.6875,0.670325,10100000100001000110010110100011010010101001011010000000111000010101010110000011100111110000000100011101
257,0.6875,0.669675,01110010111101011001000000101110110101001010100110110001010111001110010111110111100100100000001000011101
258,0.6875,0.6691625,00111110111101011000111001000001011001001010101010110011001111111001010011011011100000100000001000001101
259,0.6875,0.6675125,00000110000111011110110011001111100001010101100011001111110001111100101010101010110011011100000100011101
260,0.6875,0.6658625,10000100001111000001111000010110111000100101010111101101101000011010001100100101110101100000001000001101
261,0.6875,0.6696875,10101011011010000011110101000111000110111110001110011010101001010011101001100110100001100000001000011101
262,0.6875,0.6672125,01110111110110110010111100011101100000001110011010101010110110101001001111011100001110011100001000101101
263,0.6875,0.669475,10110110100111001011100111011011110001100111000110010111011000100001010011001010101110111000000100011101
264,0.6875,0.66765,01011111111101110001011110010011100110100000100110011010110110001011101000010010010000011100001100001101
265,0.6875,0.6655125,11001001010000111101111110000101011100010011001110111011100110001111011011000011010011000000001000011101
266,0.6875,0.6668,10000000101001000000010110000001100011101111000000001110101100111011000111000010110110101100000100011101
267,0.6875,0.6703375,11100100000011001010001100010001111110011110101000110011100101011110011110000111001001010000001000101101
268,0.6875,0.6685375,11111101010001100111111110001001010111000000110001000000111101000011111111111111101110110000001100011101
269,0.6875,0.6654375,11101011001100110110110111010011010010000000000100000010111001101100000110000001110010011000001100011101
270,0.6875,0.6696875,01011011010001010101001111010100100011111011110000111100001000011101000110011101111111010100001100011101
271,0.6875,0.6682125,11110000111100010010011010100101001000110111000100111011110100100010001111010001010011100100001000011101
272,0.6875,0.6696625,01010010011110000000110111000001101101000001010100001110101100100100010011111000001110100100001000001101
273,0.6875,0.6667375,11011001110011001101001111010011010010011010010011001001101100001000011110100111110011110100000100011101
